,file_name,main_class,resolution,class_label,width,height,aspect_ratio,file_size_kb,mean_intensity,std_intensity,skewness,kurtosis,entropy,edge_density
0,s9_74.tif,EpsonV39-2,300,EpsonV39-2_300,2480,3508,0.707,25495.07,251.364,21.037,-7.235,54.477,0.88,0.014
1,s9_99.tif,EpsonV39-2,300,EpsonV39-2_300,2480,3508,0.707,25495.07,249.928,26.686,-6.41,41.168,1.119,0.012
2,s9_78.tif,EpsonV39-2,300,EpsonV39-2_300,2480,3508,0.707,25495.07,247.463,28.516,-5.202,27.905,1.522,0.018
3,s9_100.tif,EpsonV39-2,300,EpsonV39-2_300,2480,3508,0.707,25495.07,250.653,24.942,-6.691,44.913,0.944,0.011
4,s9_16.tif,EpsonV39-2,150,EpsonV39-2_150,1240,1754,0.707,6374.08,248.826,25.721,-4.996,25.691,1.103,0.045
5,s9_76.tif,EpsonV39-2,150,EpsonV39-2_150,1240,1754,0.707,6374.08,251.79,19.858,-8.079,68.848,0.79,0.012
6,s9_98.tif,EpsonV39-2,150,EpsonV39-2_150,1240,1754,0.707,6374.08,244.82,34.502,-3.86,14.463,1.369,0.074
7,s9_58.tif,EpsonV39-2,150,EpsonV39-2_150,1240,1754,0.707,6374.08,251.348,20.124,-6.809,48.423,0.87,0.026
8,s9_43.tif,EpsonV39-2,150,EpsonV39-2_150,1240,1754,0.707,6374.08,251.363,20.892,-6.842,48.739,0.708,0.026
9,s9_85.tif,EpsonV39-2,150,EpsonV39-2_150,1240,1754,0.707,6374.08,249.726,27.485,-5.986,36.375,0.792,0.02
10,s9_31.tif,EpsonV39-2,150,EpsonV39-2_150,1240,1754,0.707,6374.08,244.033,34.794,-3.606,12.337,1.579,0.066
11,s10_46.tif,EpsonV550,150,EpsonV550_150,1239,1754,0.706,6368.94,249.234,25.181,-5.536,31.363,1.495,0.037
12,s10_50.tif,EpsonV550,150,EpsonV550_150,1239,1754,0.706,6368.94,249.637,25.948,-6.18,38.488,1.455,0.02
13,s10_79.tif,EpsonV550,150,EpsonV550_150,1239,1754,0.706,6368.94,250.089,22.59,-6.199,40.523,1.409,0.03
14,s10_41.tif,EpsonV550,150,EpsonV550_150,1239,1754,0.706,6368.94,244.983,36.832,-4.108,16.031,1.512,0.051
15,s10_57.tif,EpsonV550,150,EpsonV550_150,1239,1754,0.706,6368.94,250.077,24.028,-5.831,34.25,1.162,0.028
16,s10_26.tif,EpsonV550,150,EpsonV550_150,1239,1754,0.706,6368.94,250.651,22.318,-6.652,44.984,1.37,0.022
17,s10_36.tif,EpsonV550,150,EpsonV550_150,1239,1754,0.706,6368.94,250.688,22.82,-6.705,45.65,1.291,0.021
18,s10_35.tif,EpsonV550,150,EpsonV550_150,1239,1754,0.706,6368.94,247.844,31.093,-4.962,23.826,1.403,0.029
19,s10_98.tif,EpsonV550,150,EpsonV550_150,1239,1754,0.706,6368.94,245.134,32.445,-3.907,14.967,1.796,0.074
